x_coordinate,y_coordinate,concentration_mg_L,time_final
30.0,6.25,0.6230992207947388,300.0
30.0,6.5,0.6582546053178429,300.0
30.0,6.75,0.6725637074379927,300.0
30.0,7.0,0.6654978246998812,300.0
30.0,7.25,0.63850515806023,300.0
30.0,7.5,0.5946756591443558,300.0
30.0,7.75,0.5382105607283518,300.0
30.0,8.0,0.4738118885694783,300.0
30.0,8.25,0.40610271867879544,300.0
30.0,8.5,0.33916238916575925,300.0
30.0,8.75,0.27622311462044236,300.0
30.0,9.0,0.21953641780136668,300.0
30.0,9.25,0.17038813226597418,300.0
30.0,9.5,0.1292407771956156,300.0
30.0,9.75,0.09660835612019486,300.0
30.0,10.0,0.09660835612019486,300.0
35.0,0.0,0.0,300.0
35.0,0.25,7.190677762998389e-09,300.0
35.0,0.5,6.292720266473429e-08,300.0
35.0,0.75,3.7375973074423116e-07,300.0
35.0,1.0,1.7909650592646083e-06,300.0
35.0,1.25,7.3287866931852935e-06,300.0
35.0,1.5,2.6333464326434937e-05,300.0
35.0,1.75,8.450481861203782e-05,300.0
35.0,2.0,0.0002450861778928197,300.0
35.0,2.25,0.0006483110783283839,300.0
35.0,2.5,0.0015757800485914453,300.0
35.0,2.75,0.003541362406359446,300.0
35.0,3.0,0.0073986685987739945,300.0
35.0,3.25,0.01443797155037959,300.0
35.0,3.5,0.0264277867153341,300.0
35.0,3.75,0.04554720115023918,300.0
35.0,4.0,0.07416426120382115,300.0
35.0,4.25,0.1144484804669163,300.0
35.0,4.5,0.1678575235586735,300.0
35.0,4.75,0.23459435664562245,300.0
35.0,5.0,0.3131701847517938,300.0
35.0,5.25,0.4002110625718887,300.0
35.0,5.5,0.49060424420126375,300.0
35.0,5.75,0.5780025142079113,300.0
35.0,6.0,0.6556136149188716,300.0
35.0,6.25,0.7171261268235105,300.0
35.0,6.5,0.7575865284557621,300.0
35.0,6.75,0.7740549023983027,300.0
35.0,7.0,0.7659227639502284,300.0
35.0,7.25,0.7348568504612604,300.0
35.0,7.5,0.6844133933755704,300.0
35.0,7.75,0.6194275998133687,300.0
35.0,8.0,0.5453110405278246,300.0
35.0,8.25,0.46738442285243065,300.0
35.0,8.5,0.3903426650928911,300.0
35.0,8.75,0.317905729419136,300.0
35.0,9.0,0.2526648978305629,300.0
35.0,9.25,0.19610003871327006,300.0
35.0,9.5,0.1487434663080815,300.0
35.0,9.75,0.11118674829450519,300.0
35.0,10.0,0.11118674829450519,300.0
40.0,0.0,0.0,300.0
40.0,0.25,8.089159726194433e-09,300.0
40.0,0.5,7.079001594200482e-08,300.0
40.0,0.75,4.2046136134050026e-07,300.0
40.0,1.0,2.014747831255992e-06,300.0
40.0,1.25,8.244525497219642e-06,300.0
40.0,1.5,2.9623855510708856e-05,300.0
40.0,1.75,9.506377533419304e-05,300.0
40.0,2.0,0.0002757099267847505,300.0
40.0,2.25,0.0007293181585125129,300.0
40.0,2.5,0.0017726752506044706,300.0
40.0,2.75,0.003983858976195925,300.0
40.0,3.0,0.008323139212122443,300.0
40.0,3.25,0.01624200970057893,300.0
40.0,3.5,0.029729963567986538,300.0
40.0,3.75,0.05123836685165168,300.0
40.0,4.0,0.08343115552240245,300.0
40.0,4.25,0.12874892593778195,300.0
40.0,4.5,0.18883147928369265,300.0
40.0,4.75,0.26390714253942743,300.0
40.0,5.0,0.35230109439305,300.0
40.0,5.25,0.4502178118936825,300.0
40.0,5.5,0.551905706718382,300.0
40.0,5.75,0.6502244728869361,300.0
40.0,6.0,0.7375331537315869,300.0
40.0,6.25,0.8067317119289931,300.0
40.0,6.5,0.8522476788409056,300.0
40.0,6.75,0.8707737916010444,300.0
40.0,7.0,0.8616255347739049,300.0
40.0,7.25,0.8266779061129911,300.0
40.0,7.5,0.7699314915328817,300.0
40.0,7.75,0.6968256618391414,300.0
40.0,8.0,0.6134481686485371,300.0
40.0,8.25,0.5257845466876988,300.0
40.0,8.5,0.43911634872651556,300.0
40.0,8.75,0.35762834971127094,300.0
40.0,9.0,0.2842356147671156,300.0
40.0,9.25,0.2206029232280408,300.0
40.0,9.5,0.16732910249988298,300.0
40.0,9.75,0.12507963720015194,300.0
40.0,10.0,0.12507963720015194,300.0
45.0,0.0,0.0,300.0
45.0,0.25,8.93776933165636e-09,300.0
45.0,0.5,7.821638524747552e-08,300.0
45.0,0.75,4.645707079243896e-07,300.0
45.0,1.0,2.226109013362174e-06,300.0
45.0,1.25,9.109434061873425e-06,300.0
45.0,1.5,3.273160578156535e-05,300.0
45.0,1.75,0.00010503663229088744,300.0
45.0,2.0,0.0003046338323564652,300.0
45.0,2.25,0.0008058287498863423,300.0
45.0,2.5,0.001958641320605721,300.0
45.0,2.75,0.004401793731521893,300.0
45.0,3.0,0.009196294906237133,300.0
45.0,3.25,0.017945910463273672,300.0
45.0,3.5,0.03284884531496506,300.0
45.0,3.75,0.056613630992936,300.0
45.0,4.0,0.09218366903938854,300.0
45.0,4.25,0.14225559149072328,300.0
45.0,4.5,0.20864122618006373,300.0
45.0,4.75,0.29159285318748474,300.0
45.0,5.0,0.389259950694839,300.0
45.0,5.25,0.4974488187659182,300.0
45.0,5.5,0.6098044871129843,300.0
45.0,5.75,0.718437581567207,300.0
45.0,6.0,0.8149055555037021,300.0
45.0,6.25,0.8913635278767383,300.0
45.0,6.5,0.9416544389976826,300.0
45.0,6.75,0.9621240709266945,300.0
45.0,7.0,0.9520160977594024,300.0
45.0,7.25,0.913402217669199,300.0
45.0,7.5,0.8507027060995032,300.0
45.0,7.75,0.7699275620124011,300.0
45.0,8.0,0.6778031848760259,300.0
45.0,8.25,0.5809430339988614,300.0
45.0,8.5,0.4851827340863462,300.0
45.0,8.75,0.3951460723322686,300.0
45.0,9.0,0.3140539246417663,300.0
45.0,9.25,0.24374571737847972,300.0
45.0,9.5,0.18488309914302445,300.0
45.0,9.75,0.1382013685568132,300.0
45.0,10.0,0.1382013685568132,300.0
50.0,0.0,0.0,300.0
50.0,0.25,9.731274618778925e-09,300.0
50.0,0.5,8.516052454314701e-08,300.0
50.0,0.75,5.05815821696235e-07,300.0
50.0,1.0,2.4237454935625103e-06,300.0
50.0,1.25,9.918179938038405e-06,300.0
50.0,1.5,3.563755482445553e-05,300.0
50.0,1.75,0.00011436190350045833,300.0
50.0,2.0,0.0003316795691055996,300.0
50.0,2.25,0.0008773711391951598,300.0
50.0,2.5,0.002132531715894059,300.0
50.0,2.75,0.004792589965505885,300.0
50.0,3.0,0.010012752385730714,300.0
50.0,3.25,0.019539168723314175,300.0
50.0,3.5,0.03576520301255156,300.0
