x_coordinate,y_coordinate,concentration_mg_L,time_final
5.0,3.5,3.537397414469297e-19,300.0
5.0,3.75,1.649738326246139e-18,300.0
5.0,4.0,7.331253536527567e-18,300.0
5.0,4.25,3.109174029082574e-17,300.0
5.0,4.5,1.260250491905586e-16,300.0
5.0,4.75,4.889091367182397e-16,300.0
5.0,5.0,1.8178084390985707e-15,300.0
5.0,5.25,6.486077409226472e-15,300.0
5.0,5.5,2.2236814716385446e-14,300.0
5.0,5.75,7.3339783771879e-14,300.0
5.0,6.0,2.3296029382354735e-13,300.0
5.0,6.25,7.134724836146065e-13,300.0
5.0,6.5,2.1090326533258734e-12,300.0
5.0,6.75,6.023355420451908e-12,300.0
5.0,7.0,1.663652317209562e-11,300.0
5.0,7.25,4.447925791901788e-11,300.0
5.0,7.5,1.1521482950005988e-10,300.0
5.0,7.75,2.89390264781662e-10,300.0
5.0,8.0,7.054033719447904e-10,300.0
5.0,8.25,1.6699673336176658e-09,300.0
5.0,8.5,3.842555189876212e-09,300.0
5.0,8.75,8.599745566363315e-09,300.0
5.0,9.0,1.873279803615307e-08,300.0
5.0,9.25,3.9740858916964e-08,300.0
5.0,9.5,8.207721601106907e-08,300.0
5.0,9.75,1.6164246582303582e-07,300.0
5.0,10.0,1.6164246582303582e-07,300.0
10.0,0.0,0.0,300.0
10.0,0.25,3.287216583480711e-30,300.0
10.0,0.5,5.3310740198435e-29,300.0
10.0,0.75,6.177768349964917e-28,300.0
10.0,1.0,6.061578276531066e-27,300.0
10.0,1.25,5.310288693804552e-26,300.0
10.0,1.5,4.252695374600119e-25,300.0
10.0,1.75,3.1527636686154673e-24,300.0
10.0,2.0,2.180240839298975e-23,300.0
10.0,2.25,1.4135315906236439e-22,300.0
10.0,2.5,8.623632338800675e-22,300.0
10.0,2.75,4.964814806756196e-21,300.0
10.0,3.0,2.703812228564241e-20,300.0
10.0,3.25,1.395758510244832e-19,300.0
10.0,3.5,6.8425308824643295e-19,300.0
10.0,3.75,3.191155553387218e-18,300.0
10.0,4.0,1.4181140102275873e-17,300.0
10.0,4.25,6.014200992116512e-17,300.0
10.0,4.5,2.437753450121754e-16,300.0
10.0,4.75,9.457166927953946e-16,300.0
10.0,5.0,3.516260269698127e-15,300.0
10.0,5.25,1.2546281350793283e-14,300.0
10.0,5.5,4.301356794001191e-14,300.0
